;2023-12-04;2024-11-06
2009-11-01;102.55870071597099;102.77222218126045
2009-12-01;102.5010246572721;102.72170056943838
2010-01-01;102.02853035209554;102.3167039953474
2010-02-01;101.28385551791548;101.65423684001914
2010-03-01;100.48291736683107;100.92293878591879
2010-04-01;100.8230650628956;101.14541464753987
2010-05-01;101.41569161704163;101.60397881054352
2010-06-01;102.18474602977629;102.25778222502595
2010-07-01;102.0939533968064;102.30644776542772
2010-08-01;101.75840091821783;102.14003496820591
2010-09-01;101.20067128104978;101.72380323243107
2010-10-01;101.33433794327031;101.71608333087666
2010-11-01;101.70204588852148;101.89869233790705
2010-12-01;102.00221241859438;102.0634981508192
2011-01-01;101.55631408469239;101.66053725188685
2011-02-01;100.95206719004045;101.13435592161821
2011-03-01;100.5729238711557;100.80837654043782
2011-04-01;100.67375421136933;101.03409863512493
2011-05-01;100.89839587108355;101.37618898166892
2011-06-01;100.96183079164072;101.52478000560968
2011-07-01;100.61602955413485;101.0094338261556
2011-08-01;100.29292332636157;100.48685260275158
2011-09-01;100.20886321098654;100.25366707679774
2011-10-01;100.22601535847386;100.39752524149185
2011-11-01;100.17304639214834;100.50067070263702
2011-12-01;99.81346926591543;100.2714953027073
2012-01-01;99.6328411510347;100.06247431850005
2012-02-01;99.43106726935238;99.81665176488089
2012-03-01;99.17136484897485;99.54565557352134
2012-04-01;98.74841886060537;99.05894270083914
2012-05-01;98.23254675081469;98.4821189702721
2012-06-01;97.95295699484072;98.12918174614926
2012-07-01;97.91883004859274;98.18082008150998
2012-08-01;97.84399809957083;98.21557051221998
2012-09-01;97.97810187436798;98.40731317798574
2012-10-01;97.63194807560467;98.03222994135625
2012-11-01;97.15597755810403;97.53304812456825
2012-12-01;96.33184996871515;96.73844675832558
2013-01-01;96.37192241831124;96.77720132983255
2013-02-01;96.72840295426131;97.11086010562526
2013-03-01;97.26781941076874;97.60743150118239
2013-04-01;96.93203048288464;97.3349601617867
2013-05-01;96.52094925500771;96.99226955210963
2013-06-01;96.16870664489018;96.69451592947428
2013-07-01;96.38248188956936;96.83413653054156
2013-08-01;96.65385069559979;97.01649079576819
2013-09-01;96.87670463190841;97.16824445738118
2013-10-01;96.98125449435236;97.25625833902225
2013-11-01;97.17835609459505;97.4332153055383
2013-12-01;97.40189222873516;97.62608391048659
2014-01-01;97.46401882462854;97.6601128283396
2014-02-01;97.40628569972111;97.59036716051821
2014-03-01;97.16854955027921;97.35985161536126
2014-04-01;97.38823640591478;97.61459834311702
2014-05-01;97.70796275897686;97.97626847939333
2014-06-01;98.2072027215106;98.49608061614816
2014-07-01;98.28102619291968;98.61414063102137
2014-08-01;98.30912371231612;98.68786100392553
2014-09-01;98.27775495219224;98.70212059359784
2014-10-01;98.46188633786511;98.88424411778826
2014-11-01;98.73767674315624;99.14742775913054
2014-12-01;99.1021752456738;99.4978377078279
2015-01-01;99.35506469728804;99.77195464643867
2015-02-01;99.53566062043522;99.97560621783353
2015-03-01;99.76801347736297;100.22174754861346
2015-04-01;100.30048840604134;100.68940659741524
2015-05-01;100.84347896052662;101.16576564505728
2015-06-01;101.23220157304777;101.51359077950369
2015-07-01;101.28692594247062;101.60740302353372
2015-08-01;101.27003772740275;101.63509830997694
2015-09-01;101.31864724867859;101.71115066625174
2015-10-01;101.76938099789507;102.1182771368475
2015-11-01;102.29539620846327;102.59329181441598
2015-12-01;102.8336795475818;103.08676370610854
2016-01-01;103.00588270298316;103.29040608808
2016-02-01;103.17027746673371;103.4890185501904
2016-03-01;103.1559359406984;103.53175440402379
2016-04-01;103.23652218140921;103.63204685110938
2016-05-01;103.32008944162777;103.72499008066148
2016-06-01;103.47007807754476;103.85718077555623
2016-07-01;103.70284069417549;104.02502057416845
2016-08-01;104.07522932673739;104.32740171691421
2016-09-01;104.46651152986108;104.68235228993284
2016-10-01;104.59188364840585;104.92370030716603
2016-11-01;104.52719079926874;104.99618956476998
2016-12-01;104.49049484987644;105.0449877056733
2017-01-01;104.82794516796775;105.25778471415235
2017-02-01;105.35202789971156;105.63945345039178
