;2024-11-06;2025-02-10
2011-02-01;100.89049369776204;100.92481130454561
2011-03-01;100.58563644595054;100.62067435890081
2011-04-01;100.73240458117101;100.76879336139815
2011-05-01;101.07962690803443;101.1178271683898
2011-06-01;101.22997582643285;101.26842019995993
2011-07-01;100.82553951615918;100.86348623010801
2011-08-01;100.34010087981272;100.37697610855281
2011-09-01;100.14873649631986;100.18578403530074
2011-10-01;100.27439615740623;100.31387663272248
2011-11-01;100.37803114045299;100.42017229804658
2011-12-01;100.13015814447627;100.17423955229741
2012-01-01;99.86893451641684;99.91245598368214
2012-02-01;99.60429351362899;99.64762366114167
2012-03-01;99.3020343955788;99.34607783617034
2012-04-01;98.82397950491628;98.86865852363798
2012-05-01;98.23223004618231;98.27669601211046
2012-06-01;97.8866069901609;97.93002910236552
2012-07-01;97.95752785462378;98.0006279583765
2012-08-01;98.04314811780893;98.08624427278612
2012-09-01;98.26898462899462;98.31271443184558
2012-10-01;97.97379563938571;98.01850550528914
2012-11-01;97.49114730478351;97.53689153555455
2012-12-01;96.72542147052818;96.7717335278698
2013-01-01;96.60585907246931;96.65093013625837
2013-02-01;96.87471888436156;96.91915745046069
2013-03-01;97.3160695893285;97.36098381356595
2013-04-01;97.20589444211205;97.2515711851988
2013-05-01;96.93662171744788;96.98236527944533
2013-06-01;96.71795122368647;96.76250709689248
2013-07-01;96.83797889160147;96.8816356519242
2013-08-01;97.0138912693626;97.05732956943832
2013-09-01;97.15794956821122;97.20176700925606
2013-10-01;97.24043800107825;97.28641569484873
2013-11-01;97.44356920055606;97.49161277084914
2013-12-01;97.66773184699538;97.71705277647708
2014-01-01;97.71849534376389;97.76617925800193
2014-02-01;97.63983046758318;97.6858574281812
2014-03-01;97.36028198291649;97.4055718010577
2014-04-01;97.59277799568025;97.63938841968158
2014-05-01;97.96282572330819;98.01078949213536
2014-06-01;98.51797557171398;98.56650725387311
2014-07-01;98.65296331527082;98.70079119420396
2014-08-01;98.72502577830491;98.77240194404905
2014-09-01;98.72338445004566;98.77053195760654
2014-10-01;98.86087321040063;98.91046623572446
2014-11-01;99.09052543578534;99.14288565605433
2014-12-01;99.4358558144991;99.49015801870476
2015-01-01;99.81812974049771;99.87108188536234
2015-02-01;100.08831639169753;100.1390003676272
2015-03-01;100.38199614280211;100.43229009842119
2015-04-01;100.74113964333205;100.79332753161086
2015-05-01;101.17262316394273;101.22715108588281
2015-06-01;101.49439301229786;101.54962931685196
2015-07-01;101.71690214899537;101.77186210108152
2015-08-01;101.79955326361862;101.8545590023888
2015-09-01;101.8956786065526;101.95128788599924
2015-10-01;102.15303586016248;102.21077521810713
2015-11-01;102.56595572272404;102.6257785776362
2015-12-01;103.01508157784367;103.07652535681297
2016-01-01;103.37724537079522;103.43747861162399
2016-02-01;103.64760667992056;103.70533884626035
2016-03-01;103.7512109186755;103.80756508484714
2016-04-01;103.69955215598011;103.75834640310869
2016-05-01;103.70985680765692;103.77237009764605
2016-06-01;103.74798745844582;103.81307519886073
2016-07-01;103.98940738076655;104.05411677003204
2016-08-01;104.33951336470426;104.40320986918461
2016-09-01;104.78700292298794;104.85094902867492
2016-10-01;105.0531215969549;105.11912379272289
2016-11-01;105.11306351379372;105.18156004009042
2016-12-01;105.1247575226094;105.19434123385469
2017-01-01;105.25779477831824;105.32555588378082
2017-02-01;105.63687942010975;105.70209353257093
2017-03-01;106.13043628136892;106.19434751358385
2017-04-01;106.57582706979858;106.64182776046488
2017-05-01;106.83140285622922;106.90038099341493
2017-06-01;106.96248575145978;107.03413936848858
2017-07-01;107.10573817749986;107.17791850901378
2017-08-01;107.40318151417978;107.47500084641484
2017-09-01;107.64985627353906;107.72148703223911
2017-10-01;107.94827410047154;108.02093015607943
2017-11-01;108.10905498611903;108.18419640000339
2017-12-01;108.53020814396677;108.60690637857526
2018-01-01;108.71969201282761;108.79397778178311
2018-02-01;108.78439455763365;108.8540583225896
2018-03-01;108.69597112920499;108.76228567521419
2018-04-01;108.45167262780264;108.51946702960049
2018-05-01;108.28401049169142;108.3549823847261
2018-06-01;108.27404732334577;108.34782806321596
2018-07-01;108.85178057429813;108.9265705292822
2018-08-01;109.51273476754368;109.58776777527332
2018-09-01;110.03969912186784;110.11542312018503
2018-10-01;109.95712886818856;110.03238905187558
2018-11-01;109.73592814685064;109.81209728656006
2018-12-01;109.36224408812036;109.43728110970545
2019-01-01;109.74725206379352;109.81940240018572
2019-02-01;110.47803835397589;110.54556827846528
2019-03-01;111.32321542826968;111.38786199889918
2019-04-01;111.61212983435851;111.6795390455728
2019-05-01;111.51817655364604;111.58959606997566
2019-06-01;111.41942649292065;111.49438959134889
2019-07-01;111.60062836238183;111.67505967026385
2019-08-01;111.92370736429316;111.99713790712184
2019-09-01;112.17011030860795;112.24322613382878
2019-10-01;112.31099448516346;112.38449170885647
2019-11-01;112.4451583344094;112.52094203571394
2019-12-01;112.56918051711425;112.6444892487964
2020-01-01;112.0198060511272;112.08988489441715
2020-02-01;111.528458244327;111.59087958027285
2020-03-01;111.60579581950128;111.66438425276257
2020-04-01;109.99131717198222;110.05301852067103
2020-05-01;104.89462922571795;104.95698722493879
2020-06-01;99.60620962597937;99.66792233312438
2020-07-01;97.96955075082995;98.0306414965304
2020-08-01;99.74528597318266;99.8093430721978
2020-09-01;102.38004513251676;102.44802660893879
2020-10-01;104.70709838297176;104.77648640441211
2020-11-01;107.79476727750517;107.86852845744038
2020-12-01;108.99888421357849;109.07156527632193
2021-01-01;109.34558206920673;109.41325657210608
2021-02-01;108.57285557283052;108.62939276983104
2021-03-01;108.64245198300469;108.69350571011321
2021-04-01;108.74755793017437;108.80515268266262
2021-05-01;109.295391205045;109.36317976714261
2021-06-01;109.91213589841912;109.98853010725396
2021-07-01;110.73231254509284;110.80773222416984
2021-08-01;111.37792146284205;111.4510475226084
2021-09-01;111.72178945451736;111.79377472883891
2021-10-01;112.11535120222555;112.18800605296235
2021-11-01;112.81688718759833;112.89485871646787
2021-12-01;113.68458178198111;113.76160881807034
2022-01-01;114.75142514191421;114.8209901210402
2022-02-01;115.38039503752131;115.43436257947619
2022-03-01;115.76393785264995;115.80957172919828
2022-04-01;114.70667276232382;114.75885268517416
2022-05-01;113.92625930562714;113.99086308899581
2022-06-01;113.58777658697167;113.66315416928865
2022-07-01;114.6301153521596;114.70613122156749
2022-08-01;115.58995610806431;115.66330084892519
2022-09-01;116.1631030404771;116.2352537201038
2022-10-01;116.26242666119748;116.33403505453191
2022-11-01;116.34416068579726;116.42431674006268
2022-12-01;116.68060061192531;116.759073079084
2023-01-01;116.71930602818611;116.78336168222678
2023-02-01;116.76066582763998;116.79636306070718
2023-03-01;116.83640063817865;116.85604196379201
2023-04-01;117.30449237244864;117.33728209765525
2023-05-01;117.74424434122295;117.80037997379327
2023-06-01;117.91064743882379;117.98608154393068
2023-07-01;117.73632945768601;117.81125762133959
2023-08-01;117.517213228244;117.58475069348512
2023-09-01;117.41273184121222;117.47576309017037
2023-10-01;117.90930229892626;117.97031279814732
2023-11-01;118.54092542202714;118.6160908199857
2023-12-01;119.27487139951548;119.34830858184314
2024-01-01;119.55115212343335;119.60328745718228
